Lon_dec,Lat_dec,Year,Scientific_name,Original_scientific_name,Depth_min,Depth_max,SST,Genus,Species,Year_extra,Month,Day
-128.2768,51.588416,2017,Pyrosoma,"Pyrosoma",145.6,149.4,10.12,Pyrosoma,,NaN,NaN,NaN
48.27,2.57,1965,Pyrosomatidae,"Pyrosomatidae",0,197,27.31,,,1965,NaN,NaN
174.776667,-43.786,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",477,482,12.51,Pyrosoma,Pyrosoma atlanticum,2016,1,23
-128.284416,51.65945,2017,Pyrosoma,"Pyrosoma",132.8,139.9,10.12,Pyrosoma,,NaN,NaN,NaN
175.508167,-43.951,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",472,480,12.47,Pyrosoma,Pyrosoma atlanticum,2016,1,23
73.22,15.72,1963,Pyrosomatidae,"Pyrosomatidae",0,65,28.58,,,1963,NaN,NaN
-130.345016,51.927866,2017,Pyrosoma,"Pyrosoma",286.5,300.7,10.24,Pyrosoma,,NaN,NaN,NaN
26.83,-34.93,1963,Pyrosomatidae,"Pyrosomatidae",0,200,21.98,,,1963,NaN,NaN
175.683667,-43.633333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",280,295,13,Pyrosoma,Pyrosoma atlanticum,2016,1,25
-130.615683,52.600016,2017,Pyrosoma,"Pyrosoma",135.5,146,10.08,Pyrosoma,,NaN,NaN,NaN
176.150333,-43.4925,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",369,381,13.23,Pyrosoma,Pyrosoma atlanticum,2016,1,25
56.48,17.43,1963,Pyrosomatidae,"Pyrosomatidae",0,200,25.92,,,1963,NaN,NaN
-130.593433,52.5997,2017,Pyrosoma,"Pyrosoma",142.6,144.8,10.08,Pyrosoma,,NaN,NaN,NaN
-86.22,-7.15,1967,Pyrosomatidae,"Pyrosomatidae",0,214,23.72,,,1967,NaN,NaN
55.2,-6.47,1964,Pyrosomatidae,"Pyrosomatidae",0,200,27.89,,,1964,NaN,NaN
178.602833,-43.665,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",388,396,12.51,Pyrosoma,Pyrosoma atlanticum,2016,1,28
-130.717966,52.529483,2017,Pyrosoma,"Pyrosoma",132.9,148.1,10.07,Pyrosoma,,NaN,NaN,NaN
175.624,-43.941333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",486,493,12.46,Pyrosoma,Pyrosoma atlanticum,2016,1,30
175.451833,-44.053,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",495,512,12.24,Pyrosoma,Pyrosoma atlanticum,2016,1,30
84.77,16.62,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.54,,,1963,NaN,NaN
-130.663033,52.516383,2017,Pyrosoma,"Pyrosoma",96.3,106.2,10.09,Pyrosoma,,NaN,NaN,NaN
110,-11,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.01,,,1963,NaN,NaN
95,13,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.91,,,1963,NaN,NaN
175.128333,-44.216667,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",534,559,11.93,Pyrosoma,Pyrosoma atlanticum,2016,1,30
-130.750083,52.0643,2017,Pyrosoma,"Pyrosoma",274.5,304.5,10.07,Pyrosoma,,NaN,NaN,NaN
174.287333,-43.347833,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",576,584,12.8,Pyrosoma,Pyrosoma atlanticum,2016,2,1
148.67,-43.3,1967,Pyrosomatidae,"Pyrosomatidae",0,300,14.82,,,1967,NaN,NaN
-130.772466,52.11865,2017,Pyrosoma,"Pyrosoma",226.3,232.3,10.08,Pyrosoma,,NaN,NaN,NaN
109.6,-11.52,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.01,,,1963,NaN,NaN
168.678,-47.79,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",135,139,10.61,Pyrosoma,Pyrosoma atlanticum,2016,2,24
80.4,15.1,1965,Pyrosomatidae,"Pyrosomatidae",0,115,28.53,,,1965,NaN,NaN
-128.472033,51.3634,2017,Pyrosoma,"Pyrosoma",143.4,161.4,10.26,Pyrosoma,,NaN,NaN,NaN
67.3,-12.6,1964,Pyrosomatidae,"Pyrosomatidae",0,60,27.32,,,1964,NaN,NaN
168.805,-47.682833,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",136,137,10.63,Pyrosoma,Pyrosoma atlanticum,2016,2,24
-130.336016,52.1675,2017,Pyrosoma,"Pyrosoma",372.9,392.6,10.22,Pyrosoma,,NaN,NaN,NaN
168.969667,-47.623,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",263,280,10.53,Pyrosoma,Pyrosoma atlanticum,2016,2,25
64.1,21.52,1963,Pyrosomatidae,"Pyrosomatidae",0,200,27.27,,,1963,NaN,NaN
-128.405533,51.223783,2017,Pyrosoma,"Pyrosoma",161.7,168.4,10.19,Pyrosoma,,NaN,NaN,NaN
110,-9.5,1963,Pyrosomatidae,"Pyrosomatidae",0,200,27.95,,,1963,NaN,NaN
169.142333,-47.164833,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",123,124,11.25,Pyrosoma,Pyrosoma atlanticum,2016,2,26
-129.78015,51.96115,2017,Pyrosoma,"Pyrosoma",110.7,126.6,10.29,Pyrosoma,,NaN,NaN,NaN
168.385333,-47.045333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",81,92,11.97,Pyrosoma,Pyrosoma atlanticum,2016,2,27
77.93,-34.3,1965,Pyrosomatidae,"Pyrosomatidae",0,200,17.66,,,1965,NaN,NaN
-129.848283,51.838616,2017,Pyrosoma,"Pyrosoma",175.4,188.8,10.33,Pyrosoma,,NaN,NaN,NaN
90.92,10.78,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.85,,,1963,NaN,NaN
170.217333,-41.863833,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",740,743,15.58,Pyrosoma,Pyrosoma atlanticum,2016,8,13
-130.450833,52.5494,2017,Pyrosoma,"Pyrosoma",178.8,191.4,10.13,Pyrosoma,,NaN,NaN,NaN
170.035333,-42.327167,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",868,872,15.39,Pyrosoma,Pyrosoma atlanticum,2016,8,17
83,5,1963,Pyrosomatidae,"Pyrosomatidae",0,200,28.8,,,1963,NaN,NaN
171.285167,-51.904167,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",507,507,8.11,Pyrosoma,Pyrosoma atlanticum,2016,9,3
-130.186,52.015083,2017,Pyrosoma,"Pyrosoma",201.6,232.8,10.27,Pyrosoma,,NaN,NaN,NaN
170.640167,-52.025333,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",415,418,8.03,Pyrosoma,Pyrosoma atlanticum,2016,9,16
130.1,5.273,1981,Pyrosomatidae,"Pyrosomatidae",0,1800,29.19,,,1981,NaN,NaN
-130.1694,52.137483,2017,Pyrosoma,"Pyrosoma",279.9,282.3,10.26,Pyrosoma,,NaN,NaN,NaN
28.98,-37.25,1963,Pyrosomatidae,"Pyrosomatidae",0,200,20.01,,,1963,NaN,NaN
173.784833,-49.5265,2016,Pyrosoma atlanticum,"Pyrosoma atlanticum",480,485,8.72,Pyrosoma,Pyrosoma atlanticum,2016,12,2
